Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Open position,17250832,EURUSD.PRO,1.16,Sell,1.07593,1.07755,2024/02/07 02:34:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,-187.92,0,-8.12,-196.04,0,0,-16.2,Loss,0,80,7-6-1S,compoundit
Open position,17251006,EURJPY.PRO,0.65,Sell,159.137,159.714,2024/02/07 02:52:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,-253.04,0,-4.55,-257.59,0,0,-57.7,Loss,0,80,7-6-1S,compoundit
Open position,17252675,CADJPY.PRO,0.78,Sell,109.624,110.141,2024/02/07 03:46:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,-272.07,0,-5.46,-277.53,0,0,-51.7,Loss,0,80,7-6-1S,compoundit
Open position,17253749,EURUSD.PRO,2,Buy,1.07628,1.07754,2024/02/07 04:00:10,1970/01/01 00:00:00,2024/02/07,1970/01/01,252,0,-14,238,0,0,12.6,Win,0,80,7-1-1,compoundit
Open position,17253773,CADJPY.PRO,0.65,Sell,109.707,110.141,2024/02/07 04:04:05,1970/01/01 00:00:00,2024/02/07,1970/01/01,-190.33,0,-4.55,-194.88,0,0,-43.4,Loss,0,80,7-6-1S,compoundit
Open position,17253808,EURCHF.PRO,0.78,Sell,0.93593,0.9393,2024/02/07 04:14:07,1970/01/01 00:00:00,2024/02/07,1970/01/01,-301.55,0,-5.46,-307.01,0,0,-33.7,Loss,0,80,7-6-1S,compoundit
Open position,17253807,EURCHF.PRO,0.78,Sell,0.93593,0.9393,2024/02/07 04:14:07,1970/01/01 00:00:00,2024/02/07,1970/01/01,-301.55,0,-5.46,-307.01,0,0,-33.7,Loss,0,80,7-6-1S,compoundit
Open position,17261429,EURJPY.PRO,0.91,Sell,159.289,159.714,2024/02/07 08:28:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,-260.93,0,-6.37,-267.30,0,0,-42.5,Loss,0,80,7-6-1S,compoundit
Open position,17261485,EURAUD.PRO,0.78,Sell,1.64787,1.65031,2024/02/07 08:34:02,1970/01/01 00:00:00,2024/02/07,1970/01/01,-124.27,0,-5.46,-129.73,0,0,-24.4,Loss,0,80,7-6-1S,compoundit
Open position,17261502,AUDCAD.PRO,0.78,Buy,0.88072,0.87867,2024/02/07 08:38:04,1970/01/01 00:00:00,2024/02/07,1970/01/01,-118.83,0,-5.46,-124.29,0,0,-20.5,Loss,0,80,7-6-1L,compoundit
