sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Open position,8763259,AUDNZD.PRO,0.45,Buy,1.10463,1.07317,2023/06/20 01:32:19,1970/01/01 00:00:00,2023/06/20,1970/01/01,-860.22,-371.22,-3.15,-1234.59,0,0,-314.6,Loss,0,76,PineConnector v2.141-11834,compoundit
Open position,8763596,AUDNZD.PRO,0.45,Buy,1.10448,1.07317,2023/06/20 03:03:50,1970/01/01 00:00:00,2023/06/20,1970/01/01,-856.12,-371.22,-3.15,-1230.49,0,0,-313.1,Loss,0,76,PineConnector v2.141-11862,compoundit
Open position,8763639,AUDNZD.PRO,0.45,Buy,1.10429,1.07317,2023/06/20 03:15:36,1970/01/01 00:00:00,2023/06/20,1970/01/01,-850.93,-371.22,-3.15,-1225.30,0,0,-311.2,Loss,0,76,PineConnector v2.141-11864,compoundit
Open position,8765347,AUDNZD.PRO,0.45,Buy,1.10313,1.07317,2023/06/20 04:32:34,1970/01/01 00:00:00,2023/06/20,1970/01/01,-819.21,-371.22,-3.15,-1193.58,0,0,-299.6,Loss,0,76,PineConnector v2.141-11906,compoundit
Open position,8765362,AUDNZD.PRO,0.45,Buy,1.1026,1.07317,2023/06/20 04:33:33,1970/01/01 00:00:00,2023/06/20,1970/01/01,-804.72,-371.22,-3.15,-1179.09,0,0,-294.3,Loss,0,76,PineConnector v2.141-11911,compoundit
Open position,8767585,AUDNZD.PRO,0.45,Buy,1.10121,1.07317,2023/06/20 05:07:20,1970/01/01 00:00:00,2023/06/20,1970/01/01,-766.71,-371.22,-3.15,-1141.08,0,0,-280.4,Loss,0,76,PineConnector v2.141-11958,compoundit
Open position,8769332,AUDNZD.PRO,0.45,Buy,1.09958,1.07317,2023/06/20 05:49:04,1970/01/01 00:00:00,2023/06/20,1970/01/01,-722.14,-371.22,-3.15,-1096.51,0,0,-264.1,Loss,0,76,PineConnector v2.141-11979,compoundit
Open position,8776572,AUDNZD.PRO,0.45,Buy,1.09876,1.07317,2023/06/20 10:54:20,1970/01/01 00:00:00,2023/06/20,1970/01/01,-699.72,-371.22,-3.15,-1074.09,0,0,-255.9,Loss,0,76,PineConnector v2.141-12170,compoundit
